author,seed_short_titles,seed_titles_full,unjournal_evals,n_seed_dois_cited_by_author,n_citing_works_by_author
Madeline McKelway,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Marcella Alsan,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…; Selecting the Most Effective Nudge,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,2
Mark J. D. Jordans,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Maryam Kouchaki,Population ethical intuitions; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Population ethical intuitions; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,2
Matthew J. Kotchen,Advance Market Commitments; A Welfare Analysis of Policies Impacting Climate Change,Advance Market Commitments: Insights from Theory and Experience; A Welfare Analysis of Policies Impacting Climate Change,,2,2
Matthias Kalkuhl,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,2,2
Matthias Rodemeier,"When do ""Nudges"" Increase Welfare?; Biodiversity Risk","When do ""Nudges"" Increase Welfare?; Biodiversity Risk",,2,2
Maulik Jagnani,Money (Not) to Burn; Effects of Emigration on Rural Labor Markets,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning; Effects of Emigration on Rural Labor Markets,,2,2
Michael Kremer,Advance Market Commitments; Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience,,2,2
Michael Kühn,Advance Market Commitments; Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience,,2,2
Mika Akesaka,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Urban Forests,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Urban Forests: Environmental Health Values and Risks,,2,2
Ming‐ang Zhang,Does the Squeaky Wheel Get More Grease? The Direct and…; Urban Forests,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China; Urban Forests: Environmental Health Values and Risks,,2,2
Nikita Zakharov,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; Misperceptions and Demand for Democracy under Authoritarianism,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; Misperceptions and Demand for Democracy under Authoritarianism,,2,2
Peter Schwardmann,"Information Avoidance and Moral Behavior; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Qiang Ji,Does the Squeaky Wheel Get More Grease? The Direct and…; Biodiversity Risk,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China; Biodiversity Risk,,2,2
Qiang Wang,Biodiversity Risk,Biodiversity Risk,,2,2
Richard Sedlmayr,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Rob Garlick,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Rohini Pande,Effects of Emigration on Rural Labor Markets; Intergenerational Child Mortality Impacts of Deworming,Effects of Emigration on Rural Labor Markets; Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,2,2
Samantha Kassirer,Population ethical intuitions; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Population ethical intuitions; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,2
Seán Ó hÉigeartaigh,Stagnation and Scientific Incentives; Towards best practices in AGI safety and governance,Stagnation and Scientific Incentives; Towards best practices in AGI safety and governance: A survey of expert opinion,,2,2
Shuangyan Li,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,2,2
Siddhartha Roy,The Effect of Lead Exposure on Children’s Learning in the…; Stagnation and Scientific Incentives,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis; Stagnation and Scientific Incentives,,2,2
Sihan Zhang,Does the Squeaky Wheel Get More Grease? The Direct and…; Urban Forests,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China; Urban Forests: Environmental Health Values and Risks,,2,2
Sofia Amaral,The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,2
Stefan Dercon,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Stuart Russell,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,2,2
Susan Athey,Advance Market Commitments; Selecting the Most Effective Nudge,Advance Market Commitments: Insights from Theory and Experience; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,2
Sutanuka Roy,"When do ""Nudges"" Increase Welfare?; Cash Transfers for Child Development","When do ""Nudges"" Increase Welfare?; Cash Transfers for Child Development: Experimental Evidence from India",,2,2
Tanvir Ahmed Mozumder,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Tanvir Shatil,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Xinze Li,Does the Squeaky Wheel Get More Grease? The Direct and…; Effects of Emigration on Rural Labor Markets,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China; Effects of Emigration on Rural Labor Markets,,2,2
Bingqian Tu,Does the Squeaky Wheel Get More Grease? The Direct and…; Urban Forests,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China; Urban Forests: Environmental Health Values and Risks,,2,1
Björn Nilsson,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,1
Chiara Dell’Aira,"How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,1
Clémence Pougué Biyong,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,1
Daniel Bennett,"The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,1
Danish Us-Salam,"How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,1
Debayan Pakrashi,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,1
Ebenezer Kwabena Tetteh,Advance Market Commitments; Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience,,2,1
Firoz Ahmed,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,1
George Lin,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,1
Jingqi Dang,Does the Squeaky Wheel Get More Grease? The Direct and…; Urban Forests,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China; Urban Forests: Environmental Health Values and Risks,,2,1
Lina Meng,The Environmental Effects of Economic Production; Biodiversity Risk,The Environmental Effects of Economic Production: Evidence from Ecological Observations; Biodiversity Risk,,2,1
